"Id"|"Name"|"SWF"|"CategoryId"|"Price"|"SkinId"|"Filename"|"Vip"|"Discount"|"ThemeID"|"DiamondsPrice"|"AvailableUntil"|"ColorScheme"|"CategoryId1"|"CategoryName"|"SlotTypeId"
"3035"|"Cheeky"|"kpop_2018_anicutepose_asj"|"17"|"200"|"-1"|"kpop_2018_anicutepose_asj"|"0"|"0"|"759"|"0"|""|""|"17"|"Poses"|"-1"
"3033"|"Great Tune"|"kpop_2018_dance_mf"|"14"|"450"|"-1"|"kpop_2018_dance_mf"|"2"|"0"|"559"|"0"|""|""|"14"|"Acting & Dancing"|"-1"
"3032"|"Pop My Eyes"|"kpop_2018_dance2_mf"|"14"|"250"|"-1"|"kpop_2018_dance2_mf"|"0"|"0"|"559"|"0"|""|""|"14"|"Acting & Dancing"|"-1"
"3031"|"Picture Time Two"|"new_2017_anipose2_asj"|"19"|"200"|"-1"|"new_2017_anipose2_asj"|"0"|"0"|"850"|"0"|""|""|"19"|"Party & Fashion"|"-1"
"3030"|"Picture Time"|"new_2017_anipose1_asj"|"19"|"200"|"-1"|"new_2017_anipose1_asj"|"0"|"0"|"1329"|"0"|""|""|"19"|"Party & Fashion"|"-1"
"3029"|"Best Wishes"|"new_2017_lanterns_mf"|"19"|"450"|"-1"|"new_2017_lanterns_mf"|"2"|"0"|"557"|"0"|""|""|"19"|"Party & Fashion"|"-1"
"3028"|"NewYears Pop"|"new_2018_popballon_lsz"|"19"|"375"|"-1"|"new_2018_popballon_lsz"|"2"|"0"|"1309"|"0"|""|""|"19"|"Party & Fashion"|"-1"
"3027"|"Sparkle"|"new_2017_pose_mf"|"19"|"300"|"-1"|"new_2017_pose_mf"|"0"|"0"|"557"|"0"|""|""|"19"|"Party & Fashion"|"-1"
"3026"|"Countdown"|"new_2018_countdown_lsz"|"19"|"0"|"-1"|"new_2018_countdown_lsz"|"0"|"0"|"557"|"3"|""|""|"19"|"Party & Fashion"|"-1"
"3020"|"Stargazer"|"star_2017_gazing_mf"|"17"|"425"|"-1"|"star_2017_gazing_mf"|"0"|"0"|"1311"|"0"|""|""|"17"|"Poses"|"-1"
