"Id"|"Name"|"SWF"|"CategoryId"|"Price"|"SkinId"|"Filename"|"Vip"|"Discount"|"ThemeID"|"DiamondsPrice"|"AvailableUntil"|"ColorScheme"|"CategoryId1"|"CategoryName"|"SlotTypeId"
"19101"|"Flawless Sofa"|""|"24"|"0"|"0"|"colored/flawless_2018_sofa_mf.swf"|"0"|"0"|"578"|"3"|""|"defaultcolor=defaultcolor,0x333333,First"|"24"|"Stuff"|"8"
"19084"|"Book Reading"|""|"46"|"825"|"0"|"animated/library_2018_book_mf.swf"|"0"|"0"|"576"|"0"|""|""|"46"|"ANIMATED"|"8"
"19064"|"Library Adventures Sticker"|""|"24"|"175"|"0"|"colored/library_logosticker_2018_ms.swf"|"0"|"0"|"576"|"0"|""|"defaultcolor=defaultcolor,0x2A432A,book;colors=color2,0x700101,L"|"24"|"Stuff"|"8"
"19060"|"Regency Bookcase"|""|"24"|"0"|"0"|"colored/library_bookcase_item_2018_ms.swf"|"0"|"0"|"576"|"3"|""|"defaultcolor=defaultcolor,0x996633,Main;colors=color2,0x996633,doors:color3,0x182E18,book1:color4,0x5B1010,book2:color5,0x0C2E3F,book3"|"24"|"Stuff"|"8"
"19040"|"Water Spheres"|""|"24"|"300"|"0"|"colored/darkwaters_2018_bubbles_jmn.swf"|"2"|"0"|"573"|"0"|""|"defaultcolor=defaultcolor,0x878787,First"|"24"|"Stuff"|"8"
"19039"|"Jelly Fish"|""|"46"|"0"|"0"|"animated/darkwaters_2018_gobble_lsz.swf"|"0"|"0"|"573"|"3"|""|""|"46"|"ANIMATED"|"8"
"19038"|"Angler Fish"|""|"46"|"500"|"0"|"animated/darkwaters_2018_angler_lsz.swf"|"0"|"0"|"573"|"0"|""|""|"46"|"ANIMATED"|"8"
"19037"|"Water Bubbles"|""|"46"|"450"|"0"|"animated/darkwaters_2018_animbubbles_lsz.swf"|"0"|"0"|"573"|"0"|""|""|"46"|"ANIMATED"|"8"
"18987"|"Giant Cherry "|""|"24"|"0"|"0"|"colored/chery_2018_cheryitem_lsz.swf"|"0"|"0"|"571"|"1"|""|"defaultcolor=defaultcolor,0x990000,First;colors=color2,0x9BA133,Second"|"24"|"Stuff"|"8"
"18976"|"Merry Cherry"|""|"46"|"400"|"0"|"animated/chery_2018_merrycherry_lsz.swf"|"0"|"0"|"571"|"0"|""|""|"46"|"ANIMATED"|"8"
